ID;Name;Description
22761;Marksman's Talent;Burst Marksman [Speed of Fire] Lv +1 Additional attribute rarity: ★★★☆☆
22762;Marksman's Talent;Burst Marksman [Efficient Penetration] Lv +1 Additional attribute rarity: ★★☆☆☆
22763;Marksman's Talent;Burst Marksman [Stone Smelt] Lv +1 Additional attribute rarity: ★☆☆☆☆
22764;Marksman's Talent;Burst Marksman [Discrete] Lv +1 Additional attribute rarity: ★★★☆☆
22765;Marksman's Talent;Burst Marksman [Swift Penetration] Lv +1 Additional attribute rarity: ★★★☆☆
22766;Marksman's Talent;Burst Marksman [Motivate] Lv +1 Additional attribute rarity: ★★☆☆☆
22767;Marksman's Talent;Burst Marksman [Burning Rage] Lv +1 Additional attribute rarity: ★★★★★
24249;N/A符文天赋属性包_火枪高级_天赋31;Precision Marksman (True Aimed Shot) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24250;N/A符文天赋属性包_火枪高级_天赋32;Precision Marksman (True Encourage) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24251;N/A符文天赋属性包_火枪高级_天赋33;Soul Marksman  (True Soul Discharge) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24252;N/A符文天赋属性包_火枪高级_天赋34;Soul Marksman  (True Burst of Rage) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24253;N/A符文天赋属性包_火枪高级_天赋35;Burst Marksman  (True  Rake of Fury) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24254;N/A符文天赋属性包_火枪高级_天赋36;Burst Marksman  (True Burning Rage) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24255;N/A符文天赋属性包_火枪高级_天赋37;Precision Marksman (Swift Soul Trap) Lv1  Additional Attributes Rarity: ★★★☆☆
24256;N/A符文天赋属性包_火枪高级_天赋38;Precision Marksman (Relaxation) Lv1  Additional Attributes Rarity: ★★★☆☆
24257;N/A符文天赋属性包_火枪高级_天赋39;Soul Marksman  (Soul Concentration) Lv1  Additional Attributes Rarity: ★★★★☆
24258;N/A符文天赋属性包_火枪高级_天赋40;Soul Marksman  (Stray Bullet) Lv1  Additional Attributes Rarity: ★★★☆☆
24259;N/A符文天赋属性包_火枪高级_天赋41;Burst Marksman  (Flame Profession) Lv1  Additional Attributes Rarity: ★★★★☆
24260;N/A符文天赋属性包_火枪高级_天赋42;Burst Marksman  (Soul Resistance) Lv1  Additional Attributes Rarity: ★★★☆☆
22798;Priest;Divine Priest [Blooming Life] Lv +1 Additional attribute rarity: ★☆☆☆☆
22799;Priest;Divine Priest [Brilliance] Lv +1 Additional attribute rarity: ★★☆☆☆
22800;Priest;Divine Priest [Enlightenment] Lv +1 Additional attribute rarity: ★★★☆☆
22801;Priest;Divine Priest [Blessed Recovery] Lv +1 Additional attribute rarity: ★★★☆☆
22802;Priest;Divine Priest [Calmness] Lv +1 Additional attribute rarity: ★★★☆☆
22803;Priest;Divine Priest [Divine Light] Lv +1 Additional attribute rarity: ★★★☆☆
22804;Priest;Divine Priest [Combined Healing] Lv +1 Additional attribute rarity: ★★★☆☆
22805;Priest;Divine Priest [Awareness] Lv +1 Additional attribute rarity: ★☆☆☆☆
22806;Priest;Divine Priest [Holy Power] Lv +1 Additional attribute rarity: ★★☆☆☆
22807;Priest;Divine Priest [Divine Shield] Lv +1 Additional attribute rarity: ★★★★★
22808;Priest;Rebel Priest [Light Burn] Lv +1 Additional attribute rarity: ★☆☆☆☆
22809;Priest;Rebel Priest [Light of Fortune] Lv +1 Additional attribute rarity: ★★★☆☆
22810;Priest;Rebel Priest [Justice] Lv +1 Additional attribute rarity: ★★☆☆☆
22811;Priest;Rebel Priest [Strike of Punishment] Lv +1 Additional attribute rarity: ★★★★☆
22812;Priest;Rebel Priest [Glory] Lv +1 Additional attribute rarity: ★★★☆☆
22813;Priest;Rebel Priest [Warming Wind] Lv +1 Additional attribute rarity: ★★☆☆☆
22814;Priest;Rebel Priest [Godly Might] Lv +1 Additional attribute rarity: ★★★☆☆
22815;Priest;Rebel Priest [Heavenly Penalty] Lv +1 Additional attribute rarity: ★★★☆☆
22816;Priest;Rebel Priest [Sacred Energy] Lv +1 Additional attribute rarity: ★★☆☆☆
22817;Priest;Rebel Priest [Light Punishment] Lv +1 Additional attribute rarity: ★★★★★
22818;Priest;Glacial Priest [Flash Freeze] Lv +1 Additional attribute rarity: ★★★★☆
22819;Priest;Glacial Priest [Icy Core] Lv +1 Additional attribute rarity: ★★★☆☆
22820;Priest;Glacial Priest [Aqua Bestowal] Lv +1 Additional attribute rarity: ★★☆☆☆
22821;Priest;Glacial Priest [Prayer of Frost] Lv +1 Additional attribute rarity: ★★★★★
22822;Priest;Human Priest [Realm of Ice] Lv +1\rElf Priest [Devouring Stream] Lv +1 Additional attribute rarity: ★★☆☆☆
22823;Priest;Glacial Priest [Siphon] Lv +1 Additional attribute rarity: ★★☆☆☆
22824;Priest;Glacial Priest [Frozen Blade] Lv +1 Additional attribute rarity: ★☆☆☆☆
22825;Priest;Glacial Priest [Aqua Blessings] Lv +1 Additional attribute rarity: ★★☆☆☆
22826;Priest;Glacial Priest [Biting Cold] Lv +1 Additional attribute rarity: ★★☆☆☆
22827;Priest;Glacial Priest [Icebound Confession] Lv +1 Additional attribute rarity: ★★★★★
24261;N/A符文天赋属性包_牧师高级_天赋31;Divine Priest  (True Divine Light) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24262;N/A符文天赋属性包_牧师高级_天赋32;Divine Priest  (True Divine Shield) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24263;N/A符文天赋属性包_牧师高级_天赋33;Rebel Priest  (True Strike of Punishment) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24264;N/A符文天赋属性包_牧师高级_天赋34;Rebel Priest  (True Light Punishment) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24265;N/A符文天赋属性包_牧师高级_天赋35;Glacial Priest (True Prayer of Frost) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24266;N/A符文天赋属性包_牧师高级_天赋36;Glacial Priest (True Icebound Confession) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24267;N/A符文天赋属性包_牧师高级_天赋37;Rebel Priest  (Verdict/Judgment) Lv1  Additional Attributes Rarity: ★★★☆☆
24268;N/A符文天赋属性包_牧师高级_天赋38;Divine Priest  (Armor of Light) Lv1  Additional Attributes Rarity: ★★★★☆
24269;N/A符文天赋属性包_牧师高级_天赋39;Rebel Priest  (Magic Prism/Retribution) Lv1  Additional Attributes Rarity: ★★★☆☆
24270;N/A符文天赋属性包_牧师高级_天赋40;Rebel Priest  (Gale of Magic) Lv1  Additional Attributes Rarity: ★★★☆☆
24271;N/A符文天赋属性包_牧师高级_天赋41;Glacial Priest (Arcane Coldness) Lv1  Additional Attributes Rarity: ★★★★☆
24272;N/A符文天赋属性包_牧师高级_天赋42;Glacial Priest (Power of Love) Lv1  Additional Attributes Rarity: ★★★☆☆
22858;Bard's Talent;Wind Bard [Windblade Shield] Lv +1 Additional attribute rarity: ★☆☆☆☆
22859;Bard's Talent;Wind Bard [Ferocity of Wind] Lv +1 Additional attribute rarity: ★★☆☆☆
22860;Bard's Talent;Wind Bard [Advanced Solo of Wind] Lv +1 Additional attribute rarity: ★★☆☆☆
22861;Bard's Talent;Wind Bard [Windstorm Movement] Lv +1 Additional attribute rarity: ★★☆☆☆
22862;Bard's Talent;Wind Bard [Movement: Song of Wind] Lv +1 Additional attribute rarity: ★★☆☆☆
22863;Bard's Talent;Wind Bard [Infuriate] Lv +1 Additional attribute rarity: ★★★☆☆
22864;Bard's Talent;Wind Bard [Wind Melody Knowledge] Lv +1 Additional attribute rarity: ★★★★☆
22865;Bard's Talent;Wind Bard [Acoustic Stretch] Lv +1 Additional attribute rarity: ★★★★☆
22866;Bard's Talent;Wind Bard [Inspire] Lv +1 Additional attribute rarity: ★★★★☆
22867;Bard's Talent;Wind Bard [Voice of Freedom] Lv +1 Additional attribute rarity: ★★★★★
22868;Bard's Talent;Water Bard [Aqua Rhymes] Lv +1 Additional attribute rarity: ★☆☆☆☆
22869;Bard's Talent;Water Bard [Inspired Appearance] Lv +1 Additional attribute rarity: ★☆☆☆☆
22870;Bard's Talent;Water Bard [Acuity] Lv +1 Additional attribute rarity: ★★☆☆☆
22871;Bard's Talent;Water Bard [Endure] Lv +1 Additional attribute rarity: ★★☆☆☆
22872;Bard's Talent;Water Bard [Water Harmonics] Lv +1 Additional attribute rarity: ★★★☆☆
22873;Bard's Talent;Water Bard [Waving Ripple] Lv +1 Additional attribute rarity: ★★★☆☆
22874;Bard's Talent;Water Bard [Sonata of Water] Lv +1 Additional attribute rarity: ★★★★☆
22875;Bard's Talent;Water Bard [Lingering Melody] Lv +1 Additional attribute rarity: ★★★★☆
22876;Bard's Talent;Water Bard [Advanced Chord of Raindrops] Lv +1 Additional attribute rarity: ★★★★☆
22877;Bard's Talent;Water Bard [Triple Partita] Lv +1 Additional attribute rarity: ★★★★★
22878;Bard's Talent;Light Bard [Shine] Lv +1 Additional attribute rarity: ★☆☆☆☆
22879;Bard's Talent;Light Bard [Melody of Healing] Lv +1 Additional attribute rarity: ★☆☆☆☆
22880;Bard's Talent;Light Bard [Blessings of Light] Lv +1 Additional attribute rarity: ★☆☆☆☆
22881;Bard's Talent;Light Bard [Angelic Chorus] Lv +1 Additional attribute rarity: ★☆☆☆☆
22882;Bard's Talent;Light Bard [Light of Life] Lv +1 Additional attribute rarity: ★★★☆☆
22883;Bard's Talent;Light Bard [Solo of Light] Lv +1 Additional attribute rarity: ★★★★☆
22884;Bard's Talent;Light Bard [Halo] Lv +1 Additional attribute rarity: ★★★★☆
22885;Bard's Talent;Light Bard [Sustained Melody] Lv +1 Additional attribute rarity: ★★★★☆
22886;Bard's Talent;Light Bard [Notes of Light] Lv +1 Additional attribute rarity: ★★★★☆
22887;Bard's Talent;Light Bard [Hymn: Song of Life] Lv +1 Additional attribute rarity: ★★★★★
24273;N/A符文天赋属性包_诗人高级_天赋31;Wind Bard  (True Voice of Freedom) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24274;N/A符文天赋属性包_诗人高级_天赋32;Water Bard  (True Sonata of Water) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24275;N/A符文天赋属性包_诗人高级_天赋33;Water Bard  (True Triple Partita) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24276;N/A符文天赋属性包_诗人高级_天赋34;Light Bard  (True Solo of Light) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24277;N/A符文天赋属性包_诗人高级_天赋35;Wind Bard  (Art of Music) Lv1  Additional Attributes Rarity: ★★★☆☆
24278;N/A符文天赋属性包_诗人高级_天赋36;Wind Bard  (Gentle Sway) Lv1  Additional Attributes Rarity: ★★★☆☆
24279;N/A符文天赋属性包_诗人高级_天赋37;Wind Bard  (Wind Maneuver) Lv1  Additional Attributes Rarity: ★★★★☆
24280;N/A符文天赋属性包_诗人高级_天赋38;Wind Bard  (Advanced Voice of Freedom) Lv1  Additional Attributes Rarity: ★★★☆☆
24281;N/A符文天赋属性包_诗人高级_天赋39;Water Bard  (Tuneless Water) Lv1  Additional Attributes Rarity: ★★★☆☆
24282;N/A符文天赋属性包_诗人高级_天赋40;Light Bard  (Softening Melody) Lv1  Additional Attributes Rarity: ★★★★☆
22678;Protector's Talent;Diamond Protector [Crushing Attack] Lv +1 Additional attribute rarity: ★★★★☆
22679;Protector's Talent;Diamond Protector [Absolute Counter Measure] Lv +1 Additional attribute rarity: ★★★★★
22680;Protector's Talent;Diamond Protector [Crushing Power] Lv +1 Additional attribute rarity: ★★☆☆☆
22681;Protector's Talent;Diamond Protector [Lineage of Rocks] Lv +1 Additional attribute rarity: ★★★★☆
22682;Protector's Talent;Diamond Protector [Gust] Lv +1 Additional attribute rarity: ★☆☆☆☆
22683;Protector's Talent;Diamond Protector [Counter Time] Lv +1 Additional attribute rarity: ★★★★☆
22684;Protector's Talent;Diamond Protector [Crushing Rage] Lv +1 Additional attribute rarity: ★★☆☆☆
22685;Protector's Talent;Diamond Protector [Earth Source] Lv +1 Additional attribute rarity: ★☆☆☆☆
22686;Protector's Talent;Diamond Protector [Earthen Rage] Lv +1 Additional attribute rarity: ★★★★★
22687;Protector's Talent;Diamond Protector [Code of Fury] Lv +1 Additional attribute rarity: ★★★★☆
22688;Protector's Talent;Granite Protector [Nature Aura] Lv +1 Additional attribute rarity: ★★★☆☆
22689;Protector's Talent;Granite Protector [Iceflame Aura] Lv +1 Additional attribute rarity: ★★★☆☆
22690;Protector's Talent;Granite Protector [Chaos Aura] Lv +1 Additional attribute rarity: ★★★☆☆
22691;Protector's Talent;Granite Protector [Fist of Heaven] Lv +1 Additional attribute rarity: ★★★★☆
22692;Protector's Talent;Granite Protector [Blessings of Rocks] Lv +1 Additional attribute rarity: ★★★★☆
22693;Protector's Talent;Granite Protector [Rage of the Mind] Lv +1 Additional attribute rarity: ★☆☆☆☆
22694;Protector's Talent;Granite Protector [Fury Lock] Lv +1 Additional attribute rarity: ★★☆☆☆
22695;Protector's Talent;Granite Protector [Light of Destruction] Lv +1 Additional attribute rarity: ★☆☆☆☆
22696;Protector's Talent;Granite Protector [Enrage] Lv +1 Additional attribute rarity: ★★★☆☆
22697;Protector's Talent;Granite Protector [Fury of Light Knowledge] Lv +1 Additional attribute rarity: ★★★☆☆
22698;Protector's Talent;Marble Protector [Mass Taunt] Lv +1 Additional attribute rarity: ★★★★☆
22699;Protector's Talent;Marble Protector [Upheaval] Lv +1 Additional attribute rarity: ★★★★☆
22700;Protector's Talent;Marble Protector [Code of Taunt] Lv +1 Additional attribute rarity: ★☆☆☆☆
22701;Protector's Talent;Marble Protector [Art of Guardians] Lv +1 Additional attribute rarity: ★★★★★
22702;Protector's Talent;Marble Protector [Abominable Will] Lv +1 Additional attribute rarity: ★☆☆☆☆
22703;Protector's Talent;Marble Protector [Chaos Taunt] Lv +1 Additional attribute rarity: ★★★☆☆
22704;Protector's Talent;Marble Protector [Spirit of Rocks] Lv +1 Additional attribute rarity: ★★★★☆
22705;Protector's Talent;Marble Protector [Guardian Boulder] Lv +1 Additional attribute rarity: ★★★★☆
22706;Protector's Talent;Marble Protector [Heart of the Sentinel] Lv +1 Additional attribute rarity: ★☆☆☆☆
22707;Protector's Talent;Marble Protector [Magma Burst] Lv +1 Additional attribute rarity: ★★☆☆☆
24283;N/A符文天赋属性包_守护高级_天赋31;Diamond Protector  (True Crushing Attack) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24284;N/A符文天赋属性包_守护高级_天赋32;Diamond Protector  (True Absolute Counter Measure) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24285;N/A符文天赋属性包_守护高级_天赋33;Granite Protector  (True Nature Aura) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24286;N/A符文天赋属性包_守护高级_天赋34;Granite Protector  (True Iceflame Aura) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24287;N/A符文天赋属性包_守护高级_天赋35;Granite Protector  (True Chaos Aura) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24288;N/A符文天赋属性包_守护高级_天赋36;Granite Protector  (True Fist of Heaven) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
